ADHOME = D:\SVN\ad2005
jaso2jh() wrong!8861 -  2 3 1
BFE6 3661 ¿æ ¤· ¤Ë ¤¤  13 19  5 ¿ä 0 00000000
BFE7 3661 ¿ç ¤· ¤Ë ¤©  13 19  9 ¿ä 0 00000000
BFE8 3661 ¿è ¤· ¤Ë ¤±  13 19 17 ¿ä 0 00000000
BFE9 3661 ¿é ¤· ¤Ë ¤²  13 19 19 ¿ä 0 00000000
BFEA 3661 ¿ê ¤· ¤Ë ¤µ  13 19 21 ¿ä 0 00000000
BFEB 3661 ¿ë ¤· ¤Ë ¤·  13 19 23 ¿ä 0 00000000
BFEC 3681 ¿ì ¤· ¤Ì     13 20  1 ¿ì 0 00000000
BFED 3681 ¿í ¤· ¤Ì ¤¡  13 20  2 ¿ì 0 00000000
BFEE 3681 ¿î ¤· ¤Ì ¤¤  13 20  5 ¿ì 0 00000000
BFEF 3681 ¿ï ¤· ¤Ì ¤©  13 20  9 ¿ì 0 00000000
BFF0 3681 ¿ð ¤· ¤Ì ¤ª  13 20 10 ¿ì 0 00000000
BFF1 3681 ¿ñ ¤· ¤Ì ¤«  13 20 11 ¿ì 0 00000000
BFF2 3681 ¿ò ¤· ¤Ì ¤±  13 20 17 ¿ì 0 00000000
BFF3 3681 ¿ó ¤· ¤Ì ¤²  13 20 19 ¿ì 0 00000000
BFF4 3681 ¿ô ¤· ¤Ì ¤µ  13 20 21 ¿ì 0 00000000
BFF5 3681 ¿õ ¤· ¤Ì ¤·  13 20 23 ¿ì 0 00000000
BFF6 36A1 ¿ö ¤· ¤Í     13 21  1 ¿ö 0 00000000
BFF7 36A1 ¿÷ ¤· ¤Í ¤¡  13 21  2 ¿ö 0 00000000
BFF8 36A1 ¿ø ¤· ¤Í ¤¤  13 21  5 ¿ö 0 00000000
BFF9 36A1 ¿ù ¤· ¤Í ¤©  13 21  9 ¿ö 0 00000000
BFFA 36A1 ¿ú ¤· ¤Í ¤±  13 21 17 ¿ö 0 00000000
BFFB 36A1 ¿û ¤· ¤Í ¤²  13 21 19 ¿ö 0 00000000
BFFC 36A1 ¿ü ¤· ¤Í ¤¶  13 21 22 ¿ö 0 00000000
BFFD 36A1 ¿ý ¤· ¤Í ¤·  13 21 23 ¿ö 0 00000000
BFFE 36C1 ¿þ ¤· ¤Î     13 22  1 ¿þ 0 00000000
C0A1 36C1 À¡ ¤· ¤Î ¤¡  13 22  2 ¿þ 0 00000000
C0A2 36C1 À¢ ¤· ¤Î ¤¤  13 22  5 ¿þ 0 00000000
C0A3 36C1 À£ ¤· ¤Î ¤©  13 22  9 ¿þ 0 00000000
C0A4 36C1 À¤ ¤· ¤Î ¤±  13 22 17 ¿þ 0 00000000
C0A5 36C1 À¥ ¤· ¤Î ¤²  13 22 19 ¿þ 0 00000000
C0A6 36C1 À¦ ¤· ¤Î ¤·  13 22 23 ¿þ 0 00000000
C0A7 36E1 À§ ¤· ¤Ï     13 23  1 À§ 0 00000000
C0A8 36E1 À¨ ¤· ¤Ï ¤¡  13 23  2 À§ 0 00000000
C0A9 36E1 À© ¤· ¤Ï ¤¤  13 23  5 À§ 0 00000000
C0AA 36E1 Àª ¤· ¤Ï ¤©  13 23  9 À§ 0 00000000
C0AB 36E1 À« ¤· ¤Ï ¤±  13 23 17 À§ 0 00000000
C0AC 36E1 À¬ ¤· ¤Ï ¤²  13 23 19 À§ 0 00000000
C0AD 36E1 À­ ¤· ¤Ï ¤µ  13 23 21 À§ 0 00000000
C0AE 36E1 À® ¤· ¤Ï ¤·  13 23 23 À§ 0 00000000
C0AF 3741 À¯ ¤· ¤Ð     13 26  1 À¯ 0 00000000
C0B0 3741 À° ¤· ¤Ð ¤¡  13 26  2 À¯ 0 00000000
C0B1 3741 À± ¤· ¤Ð ¤¤  13 26  5 À¯ 0 00000000
C0B2 3741 À² ¤· ¤Ð ¤©  13 26  9 À¯ 0 00000000
C0B3 3741 À³ ¤· ¤Ð ¤±  13 26 17 À¯ 0 00000000
C0B4 3741 À´ ¤· ¤Ð ¤²  13 26 19 À¯ 0 00000000
C0B5 3741 Àµ ¤· ¤Ð ¤µ  13 26 21 À¯ 0 00000000
C0B6 3741 À¶ ¤· ¤Ð ¤·  13 26 23 À¯ 0 00000000
C0B7 3741 À· ¤· ¤Ð ¤º  13 26 25 À¯ 0 00000000
C0B8 3761 À¸ ¤· ¤Ñ     13 27  1 À¸ 0 00000007
C0B9 3761 À¹ ¤· ¤Ñ ¤¡  13 27  2 À¸ 0 00000000
C0BA 3761 Àº ¤· ¤Ñ ¤¤  13 27  5 À¸ 0 0000000F
C0BB 3761 À» ¤· ¤Ñ ¤©  13 27  9 À¸ 0 00000007
C0BC 3761 À¼ ¤· ¤Ñ ¤¯  13 27 15 À¸ 0 00000000
C0BD 3761 À½ ¤· ¤Ñ ¤±  13 27 17 À¸ 0 00000004
C0BE 3761 À¾ ¤· ¤Ñ ¤²  13 27 19 À¸ 0 00000004
C0BF 3761 À¿ ¤· ¤Ñ ¤µ  13 27 21 À¸ 0 00000000
C0C0 3761 ÀÀ ¤· ¤Ñ ¤·  13 27 23 À¸ 0 00000000
C0C1 3761 ÀÁ ¤· ¤Ñ ¤¸  13 27 24 À¸ 0 00000000
C0C2 3761 ÀÂ ¤· ¤Ñ ¤º  13 27 25 À¸ 0 00000000
C0C3 3761 ÀÃ ¤· ¤Ñ ¤»  13 27 26 À¸ 0 00000000
C0C4 3761 ÀÄ ¤· ¤Ñ ¤¼  13 27 27 À¸ 0 00000000
C0C5 3761 ÀÅ ¤· ¤Ñ ¤½  13 27 28 À¸ 0 00000000
C0C6 3761 ÀÆ ¤· ¤Ñ ¤¾  13 27 29 À¸ 0 00000000
C0C7 3781 ÀÇ ¤· ¤Ò     13 28  1 ÀÇ 0 00000003
C0C8 3781 ÀÈ ¤· ¤Ò ¤¤  13 28  5 ÀÇ 0 00000000
C0C9 3781 ÀÉ ¤· ¤Ò ¤©  13 28  9 ÀÇ 0 00000000
C0CA 3781 ÀÊ ¤· ¤Ò ¤±  13 28 17 ÀÇ 0 00000000
C0CB 3781 ÀË ¤· ¤Ò ¤µ  13 28 21 ÀÇ 0 00000000
C0CC 37A1 ÀÌ ¤· ¤Ó     13 29  1 ÀÌ 0 0000000F
C0CD 37A1 ÀÍ ¤· ¤Ó ¤¡  13 29  2 ÀÌ 0 00000000
C0CE 37A1 ÀÎ ¤· ¤Ó ¤¤  13 29  5 ÀÌ 0 00000003
C0CF 37A1 ÀÏ ¤· ¤Ó ¤©  13 29  9 ÀÌ 0 00000001
C0D0 37A1 ÀÐ ¤· ¤Ó ¤ª  13 29 10 ÀÌ 0 00000000
C0D1 37A1 ÀÑ ¤· ¤Ó ¤«  13 29 11 ÀÌ 0 00000000
C0D2 37A1 ÀÒ ¤· ¤Ó ¤°  13 29 16 ÀÌ 0 00000000
C0D3 37A1 ÀÓ ¤· ¤Ó ¤±  13 29 17 ÀÌ 0 00000000
C0D4 37A1 ÀÔ ¤· ¤Ó ¤²  13 29 19 ÀÌ 0 00000000
C0D5 37A1 ÀÕ ¤· ¤Ó ¤µ  13 29 21 ÀÌ 0 00000000
C0D6 37A1 ÀÖ ¤· ¤Ó ¤¶  13 29 22 ÀÌ 0 00000000
C0D7 37A1 À× ¤· ¤Ó ¤·  13 29 23 ÀÌ 0 00000000
C0D8 37A1 ÀØ ¤· ¤Ó ¤¸  13 29 24 ÀÌ 0 00000000
C0D9 37A1 ÀÙ ¤· ¤Ó ¤½  13 29 28 ÀÌ 0 00000000
C0DA 3861 ÀÚ ¤¸ ¤¿     14  3  1 ÀÚ 0 0000020C
C0DB 3861 ÀÛ ¤¸ ¤¿ ¤¡  14  3  2 ÀÚ 0 00000008
C0DC 3861 ÀÜ ¤¸ ¤¿ ¤¤  14  3  5 ÀÚ 0 00000004
C0DD 3861 ÀÝ ¤¸ ¤¿ ¤¦  14  3  7 ÀÚ 0 00000000
C0DE 3861 ÀÞ ¤¸ ¤¿ ¤§  14  3  8 ÀÚ 0 00000000
C0DF 3861 Àß ¤¸ ¤¿ ¤©  14  3  9 ÀÚ 0 00000004
C0E0 3861 Àà ¤¸ ¤¿ ¤«  14  3 11 ÀÚ 0 00000000
C0E1 3861 Àá ¤¸ ¤¿ ¤±  14  3 17 ÀÚ 0 00000000
C0E2 3861 Àâ ¤¸ ¤¿ ¤²  14  3 19 ÀÚ 0 00000000
C0E3 3861 Àã ¤¸ ¤¿ ¤µ  14  3 21 ÀÚ 0 00000000
C0E4 3861 Àä ¤¸ ¤¿ ¤¶  14  3 22 ÀÚ 0 00000000
C0E5 3861 Àå ¤¸ ¤¿ ¤·  14  3 23 ÀÚ 0 00000000
C0E6 3861 Àæ ¤¸ ¤¿ ¤¸  14  3 24 ÀÚ 0 00000000
C0E7 3881 Àç ¤¸ ¤À     14  4  1 Àç 0 00000000
C0E8 3881 Àè ¤¸ ¤À ¤¡  14  4  2 Àç 0 00000000
C0E9 3881 Àé ¤¸ ¤À ¤¤  14  4  5 Àç 0 00000000
C0EA 3881 Àê ¤¸ ¤À ¤©  14  4  9 Àç 0 00000000
C0EB 3881 Àë ¤¸ ¤À ¤±  14  4 17 Àç 0 00000000
C0EC 3881 Àì ¤¸ ¤À ¤²  14  4 19 Àç 0 00000000
C0ED 3881 Àí ¤¸ ¤À ¤µ  14  4 21 Àç 0 00000000
C0EE 3881 Àî ¤¸ ¤À ¤¶  14  4 22 Àç 0 00000000
C0EF 3881 Àï ¤¸ ¤À ¤·  14  4 23 Àç 0 00000000
C0F0 38A1 Àð ¤¸ ¤Á     14  5  1 Àð 0 00000000
C0F1 38A1 Àñ ¤¸ ¤Á ¤¡  14  5  2 Àð 0 00000000
C0F2 38A1 Àò ¤¸ ¤Á ¤¤  14  5  5 Àð 0 00000000
C0F3 38A1 Àó ¤¸ ¤Á ¤¦  14  5  7 Àð 0 00000000
C0F4 38A1 Àô ¤¸ ¤Á ¤©  14  5  9 Àð 0 00000000
C0F5 38A1 Àõ ¤¸ ¤Á ¤±  14  5 17 Àð 0 00000000
C0F6 38A1 Àö ¤¸ ¤Á ¤·  14  5 23 Àð 0 00000000
C0F7 38C1 À÷ ¤¸ ¤Â     14  6  1 À÷ 0 00000000
C0F8 38C1 Àø ¤¸ ¤Â ¤¤  14  6  5 À÷ 0 00000000
C0F9 38C1 Àù ¤¸ ¤Â ¤©  14  6  9 À÷ 0 00000000
C0FA 38E1 Àú ¤¸ ¤Ã     14  7  1 Àú 0 00000002
C0FB 38E1 Àû ¤¸ ¤Ã ¤¡  14  7  2 Àú 0 00000000
C0FC 38E1 Àü ¤¸ ¤Ã ¤¤  14  7  5 Àú 0 00000000
C0FD 38E1 Àý ¤¸ ¤Ã ¤©  14  7  9 Àú 0 00000000
C0FE 38E1 Àþ ¤¸ ¤Ã ¤«  14  7 11 Àú 0 00000000
C1A1 38E1 Á¡ ¤¸ ¤Ã ¤±  14  7 17 Àú 0 00000000
C1A2 38E1 Á¢ ¤¸ ¤Ã ¤²  14  7 19 Àú 0 00000000
C1A3 38E1 Á£ ¤¸ ¤Ã ¤µ  14  7 21 Àú 0 00000000
C1A4 38E1 Á¤ ¤¸ ¤Ã ¤·  14  7 23 Àú 0 00000008
C1A5 38E1 Á¥ ¤¸ ¤Ã ¤¸  14  7 24 Àú 0 00000000
C1A6 3941 Á¦ ¤¸ ¤Ä     14 10  1 Á¦ 0 00000000
C1A7 3941 Á§ ¤¸ ¤Ä ¤¡  14 10  2 Á¦ 0 00000000
C1A8 3941 Á¨ ¤¸ ¤Ä ¤¤  14 10  5 Á¦ 0 00000000
C1A9 3941 Á© ¤¸ ¤Ä ¤©  14 10  9 Á¦ 0 00000000
C1AA 3941 Áª ¤¸ ¤Ä ¤±  14 10 17 Á¦ 0 00000000
C1AB 3941 Á« ¤¸ ¤Ä ¤²  14 10 19 Á¦ 0 00000000
C1AC 3941 Á¬ ¤¸ ¤Ä ¤µ  14 10 21 Á¦ 0 00000000
C1AD 3941 Á­ ¤¸ ¤Ä ¤·  14 10 23 Á¦ 0 00000000
C1AE 3961 Á® ¤¸ ¤Å     14 11  1 Á® 0 00000000
C1AF 3961 Á¯ ¤¸ ¤Å ¤¤  14 11  5 Á® 0 00000000
C1B0 3961 Á° ¤¸ ¤Å ¤©  14 11  9 Á® 0 00000000
C1B1 3961 Á± ¤¸ ¤Å ¤±  14 11 17 Á® 0 00000000
C1B2 3961 Á² ¤¸ ¤Å ¤²  14 11 19 Á® 0 00000000
C1B3 3961 Á³ ¤¸ ¤Å ¤¶  14 11 22 Á® 0 00000000
C1B4 3961 Á´ ¤¸ ¤Å ¤·  14 11 23 Á® 0 00000000
C1B5 3981 Áµ ¤¸ ¤Æ     14 12  1 Áµ 0 00000000
C1B6 39A1 Á¶ ¤¸ ¤Ç     14 13  1 Á¶ 0 00000003
C1B7 39A1 Á· ¤¸ ¤Ç ¤¡  14 13  2 Á¶ 0 00000000
C1B8 39A1 Á¸ ¤¸ ¤Ç ¤¤  14 13  5 Á¶ 0 00000000
C1B9 39A1 Á¹ ¤¸ ¤Ç ¤©  14 13  9 Á¶ 0 00000000
C1BA 39A1 Áº ¤¸ ¤Ç ¤«  14 13 11 Á¶ 0 00000000
C1BB 39A1 Á» ¤¸ ¤Ç ¤±  14 13 17 Á¶ 0 00000000
C1BC 39A1 Á¼ ¤¸ ¤Ç ¤²  14 13 19 Á¶ 0 00000000
C1BD 39A1 Á½ ¤¸ ¤Ç ¤µ  14 13 21 Á¶ 0 00000000
C1BE 39A1 Á¾ ¤¸ ¤Ç ¤·  14 13 23 Á¶ 0 00000000
C1BF 39A1 Á¿ ¤¸ ¤Ç ¤¸  14 13 24 Á¶ 0 00000000
C1C0 39A1 ÁÀ ¤¸ ¤Ç ¤º  14 13 25 Á¶ 0 00000000
C1C1 39A1 ÁÁ ¤¸ ¤Ç ¤¾  14 13 29 Á¶ 0 00000000
C1C2 39C1 ÁÂ ¤¸ ¤È     14 14  1 ÁÂ 0 00000000
C1C3 39C1 ÁÃ ¤¸ ¤È ¤¡  14 14  2 ÁÂ 0 00000000
C1C4 39C1 ÁÄ ¤¸ ¤È ¤©  14 14  9 ÁÂ 0 00000000
C1C5 39C1 ÁÅ ¤¸ ¤È ¤²  14 14 19 ÁÂ 0 00000000
C1C6 39C1 ÁÆ ¤¸ ¤È ¤µ  14 14 21 ÁÂ 0 00000000
C1C7 39C1 ÁÇ ¤¸ ¤È ¤·  14 14 23 ÁÂ 0 00000000
C1C8 39E1 ÁÈ ¤¸ ¤É     14 15  1 ÁÈ 0 00000000
C1C9 39E1 ÁÉ ¤¸ ¤É ¤¶  14 15 22 ÁÈ 0 00000000
C1CA 39E1 ÁÊ ¤¸ ¤É ¤·  14 15 23 ÁÈ 0 00000000
C1CB 3A41 ÁË ¤¸ ¤Ê     14 18  1 ÁË 0 00000000
C1CC 3A41 ÁÌ ¤¸ ¤Ê ¤¤  14 18  5 ÁË 0 00000000
C1CD 3A41 ÁÍ ¤¸ ¤Ê ¤©  14 18  9 ÁË 0 00000000
C1CE 3A41 ÁÎ ¤¸ ¤Ê ¤±  14 18 17 ÁË 0 00000000
C1CF 3A41 ÁÏ ¤¸ ¤Ê ¤²  14 18 19 ÁË 0 00000000
C1D0 3A41 ÁÐ ¤¸ ¤Ê ¤µ  14 18 21 ÁË 0 00000000
C1D1 3A41 ÁÑ ¤¸ ¤Ê ¤·  14 18 23 ÁË 0 00000000
C1D2 3A61 ÁÒ ¤¸ ¤Ë     14 19  1 ÁÒ 0 00000000
C1D3 3A61 ÁÓ ¤¸ ¤Ë ¤¡  14 19  2 ÁÒ 0 00000000
C1D4 3A61 ÁÔ ¤¸ ¤Ë ¤¤  14 19  5 ÁÒ 0 00000000
C1D5 3A61 ÁÕ ¤¸ ¤Ë ¤·  14 19 23 ÁÒ 0 00000000
C1D6 3A81 ÁÖ ¤¸ ¤Ì     14 20  1 ÁÖ 0 00000000
C1D7 3A81 Á× ¤¸ ¤Ì ¤¡  14 20  2 ÁÖ 0 00000000
C1D8 3A81 ÁØ ¤¸ ¤Ì ¤¤  14 20  5 ÁÖ 0 00000000
C1D9 3A81 ÁÙ ¤¸ ¤Ì ¤©  14 20  9 ÁÖ 0 00000000
C1DA 3A81 ÁÚ ¤¸ ¤Ì ¤ª  14 20 10 ÁÖ 0 00000000
C1DB 3A81 ÁÛ ¤¸ ¤Ì ¤«  14 20 11 ÁÖ 0 00000000
C1DC 3A81 ÁÜ ¤¸ ¤Ì ¤±  14 20 17 ÁÖ 0 00000000
C1DD 3A81 ÁÝ ¤¸ ¤Ì ¤²  14 20 19 ÁÖ 0 00000000
C1DE 3A81 ÁÞ ¤¸ ¤Ì ¤µ  14 20 21 ÁÖ 0 00000000
C1DF 3A81 Áß ¤¸ ¤Ì ¤·  14 20 23 ÁÖ 0 00000000
C1E0 3AA1 Áà ¤¸ ¤Í     14 21  1 Áà 0 00000000
C1E1 3AA1 Áá ¤¸ ¤Í ¤¶  14 21 22 Áà 0 00000000
C1E2 3AC1 Áâ ¤¸ ¤Î     14 22  1 Áâ 0 00000000
C1E3 3AE1 Áã ¤¸ ¤Ï     14 23  1 Áã 0 00000000
C1E4 3AE1 Áä ¤¸ ¤Ï ¤¡  14 23  2 Áã 0 00000000
C1E5 3AE1 Áå ¤¸ ¤Ï ¤¤  14 23  5 Áã 0 00000000
C1E6 3AE1 Áæ ¤¸ ¤Ï ¤©  14 23  9 Áã 0 00000000
C1E7 3AE1 Áç ¤¸ ¤Ï ¤±  14 23 17 Áã 0 00000000
C1E8 3AE1 Áè ¤¸ ¤Ï ¤²  14 23 19 Áã 0 00000000
C1E9 3AE1 Áé ¤¸ ¤Ï ¤µ  14 23 21 Áã 0 00000000
C1EA 3B41 Áê ¤¸ ¤Ð     14 26  1 Áê 0 00000000
C1EB 3B41 Áë ¤¸ ¤Ð ¤¤  14 26  5 Áê 0 00000000
C1EC 3B41 Áì ¤¸ ¤Ð ¤©  14 26  9 Áê 0 00000000
C1ED 3B41 Áí ¤¸ ¤Ð ¤±  14 26 17 Áê 0 00000000
C1EE 3B61 Áî ¤¸ ¤Ñ     14 27  1 Áî 0 00000000
C1EF 3B61 Áï ¤¸ ¤Ñ ¤¡  14 27  2 Áî 0 0000000A
C1F0 3B61 Áð ¤¸ ¤Ñ ¤¤  14 27  5 Áî 0 00000000
C1F1 3B61 Áñ ¤¸ ¤Ñ ¤©  14 27  9 Áî 0 00000000
C1F2 3B61 Áò ¤¸ ¤Ñ ¤±  14 27 17 Áî 0 00000000
C1F3 3B61 Áó ¤¸ ¤Ñ ¤²  14 27 19 Áî 0 00000000
C1F4 3B61 Áô ¤¸ ¤Ñ ¤µ  14 27 21 Áî 0 00000000
C1F5 3B61 Áõ ¤¸ ¤Ñ ¤·  14 27 23 Áî 0 00000000
C1F6 3BA1 Áö ¤¸ ¤Ó     14 29  1 Áö 0 0000000E
C1F7 3BA1 Á÷ ¤¸ ¤Ó ¤¡  14 29  2 Áö 0 00000000
C1F8 3BA1 Áø ¤¸ ¤Ó ¤¤  14 29  5 Áö 0 0000000E
C1F9 3BA1 Áù ¤¸ ¤Ó ¤§  14 29  8 Áö 0 00000000
C1FA 3BA1 Áú ¤¸ ¤Ó ¤©  14 29  9 Áö 0 00000004
C1FB 3BA1 Áû ¤¸ ¤Ó ¤«  14 29 11 Áö 0 00000000
C1FC 3BA1 Áü ¤¸ ¤Ó ¤±  14 29 17 Áö 0 00000000
C1FD 3BA1 Áý ¤¸ ¤Ó ¤²  14 29 19 Áö 0 00000000
C1FE 3BA1 Áþ ¤¸ ¤Ó ¤µ  14 29 21 Áö 0 00000000
C2A1 3BA1 Â¡ ¤¸ ¤Ó ¤·  14 29 23 Áö 0 00000000
C2A2 3BA1 Â¢ ¤¸ ¤Ó ¤¸  14 29 24 Áö 0 00000000
C2A3 3BA1 Â£ ¤¸ ¤Ó ¤¼  14 29 27 Áö 0 00000000
C2A4 3BA1 Â¤ ¤¸ ¤Ó ¤½  14 29 28 Áö 0 00000000
C2A5 3C61 Â¥ ¤¹ ¤¿     15  3  1 Â¥ 0 00000000
C2A6 3C61 Â¦ ¤¹ ¤¿ ¤¡  15  3  2 Â¥ 0 00000000
C2A7 3C61 Â§ ¤¹ ¤¿ ¤¤  15  3  5 Â¥ 0 00000000
C2A8 3C61 Â¨ ¤¹ ¤¿ ¤¦  15  3  7 Â¥ 0 00000000
C2A9 3C61 Â© ¤¹ ¤¿ ¤©  15  3  9 Â¥ 0 00000000
C2AA 3C61 Âª ¤¹ ¤¿ ¤¬  15  3 12 Â¥ 0 00000000
C2AB 3C61 Â« ¤¹ ¤¿ ¤±  15  3 17 Â¥ 0 00000000
C2AC 3C61 Â¬ ¤¹ ¤¿ ¤²  15  3 19 Â¥ 0 00000000
C2AD 3C61 Â­ ¤¹ ¤¿ ¤µ  15  3 21 Â¥ 0 00000000
C2AE 3C61 Â® ¤¹ ¤¿ ¤¶  15  3 22 Â¥ 0 00000000
C2AF 3C61 Â¯ ¤¹ ¤¿ ¤·  15  3 23 Â¥ 0 00000000
C2B0 3C81 Â° ¤¹ ¤À     15  4  1 Â° 0 00000000
C2B1 3C81 Â± ¤¹ ¤À ¤¡  15  4  2 Â° 0 00000000
C2B2 3C81 Â² ¤¹ ¤À ¤¤  15  4  5 Â° 0 00000000
C2B3 3C81 Â³ ¤¹ ¤À ¤©  15  4  9 Â° 0 00000000
C2B4 3C81 Â´ ¤¹ ¤À ¤±  15  4 17 Â° 0 00000000
C2B5 3C81 Âµ ¤¹ ¤À ¤²  15  4 19 Â° 0 00000000
C2B6 3C81 Â¶ ¤¹ ¤À ¤µ  15  4 21 Â° 0 00000000
C2B7 3C81 Â· ¤¹ ¤À ¤¶  15  4 22 Â° 0 00000000
C2B8 3C81 Â¸ ¤¹ ¤À ¤·  15  4 23 Â° 0 00000000
C2B9 3CA1 Â¹ ¤¹ ¤Á     15  5  1 Â¹ 0 00000000
C2BA 3CA1 Âº ¤¹ ¤Á ¤¤  15  5  5 Â¹ 0 00000000
C2BB 3CA1 Â» ¤¹ ¤Á ¤·  15  5 23 Â¹ 0 00000000
C2BC 3CE1 Â¼ ¤¹ ¤Ã     15  7  1 Â¼ 0 00000000
C2BD 3CE1 Â½ ¤¹ ¤Ã ¤¡  15  7  2 Â¼ 0 00000000
C2BE 3CE1 Â¾ ¤¹ ¤Ã ¤¤  15  7  5 Â¼ 0 00000000
C2BF 3CE1 Â¿ ¤¹ ¤Ã ¤©  15  7  9 Â¼ 0 00000000
C2C0 3CE1 ÂÀ ¤¹ ¤Ã ¤±  15  7 17 Â¼ 0 00000000
C2C1 3CE1 ÂÁ ¤¹ ¤Ã ¤²  15  7 19 Â¼ 0 00000000
C2C2 3CE1 ÂÂ ¤¹ ¤Ã ¤µ  15  7 21 Â¼ 0 00000000
C2C3 3CE1 ÂÃ ¤¹ ¤Ã ¤¶  15  7 22 Â¼ 0 00000000
C2C4 3CE1 ÂÄ ¤¹ ¤Ã ¤·  15  7 23 Â¼ 0 00000000
C2C5 3D41 ÂÅ ¤¹ ¤Ä     15 10  1 ÂÅ 0 00000000
C2C6 3D41 ÂÆ ¤¹ ¤Ä ¤·  15 10 23 ÂÅ 0 00000000
C2C7 3D61 ÂÇ ¤¹ ¤Å     15 11  1 ÂÇ 0 00000000
C2C8 3D61 ÂÈ ¤¹ ¤Å ¤¶  15 11 22 ÂÇ 0 00000000
C2C9 3DA1 ÂÉ ¤¹ ¤Ç     15 13  1 ÂÉ 0 00000000
C2CA 3DA1 ÂÊ ¤¹ ¤Ç ¤¡  15 13  2 ÂÉ 0 00000000
C2CB 3DA1 ÂË ¤¹ ¤Ç ¤¤  15 13  5 ÂÉ 0 00000000
C2CC 3DA1 ÂÌ ¤¹ ¤Ç ¤©  15 13  9 ÂÉ 0 00000000
C2CD 3DA1 ÂÍ ¤¹ ¤Ç ¤±  15 13 17 ÂÉ 0 00000000
C2CE 3DA1 ÂÎ ¤¹ ¤Ç ¤²  15 13 19 ÂÉ 0 00000000
C2CF 3DA1 ÂÏ ¤¹ ¤Ç ¤µ  15 13 21 ÂÉ 0 00000000
C2D0 3DA1 ÂÐ ¤¹ ¤Ç ¤·  15 13 23 ÂÉ 0 00000000
C2D1 3DA1 ÂÑ ¤¹ ¤Ç ¤º  15 13 25 ÂÉ 0 00000000
C2D2 3DC1 ÂÒ ¤¹ ¤È     15 14  1 ÂÒ 0 00000000
C2D3 3DC1 ÂÓ ¤¹ ¤È ¤¡  15 14  2 ÂÒ 0 00000000
C2D4 3DC1 ÂÔ ¤¹ ¤È ¤©  15 14  9 ÂÒ 0 00000000
C2D5 3DC1 ÂÕ ¤¹ ¤È ¤¶  15 14 22 ÂÒ 0 00000000
C2D6 3DE1 ÂÖ ¤¹ ¤É     15 15  1 ÂÖ 0 00000000
C2D7 3DE1 Â× ¤¹ ¤É ¤¶  15 15 22 ÂÖ 0 00000000
C2D8 3E41 ÂØ ¤¹ ¤Ê     15 18  1 ÂØ 0 00000000
C2D9 3E41 ÂÙ ¤¹ ¤Ê ¤¤  15 18  5 ÂØ 0 00000000
C2DA 3E41 ÂÚ ¤¹ ¤Ê ¤©  15 18  9 ÂØ 0 00000000
C2DB 3E41 ÂÛ ¤¹ ¤Ê ¤±  15 18 17 ÂØ 0 00000000
C2DC 3E41 ÂÜ ¤¹ ¤Ê ¤²  15 18 19 ÂØ 0 00000000
C2DD 3E61 ÂÝ ¤¹ ¤Ë ¤·  15 19 23 ÁÒ 0 00000000
C2DE 3E81 ÂÞ ¤¹ ¤Ì     15 20  1 ÂÞ 0 00000000
C2DF 3E81 Âß ¤¹ ¤Ì ¤¡  15 20  2 ÂÞ 0 00000000
C2E0 3E81 Âà ¤¹ ¤Ì ¤¤  15 20  5 ÂÞ 0 00000000
C2E1 3E81 Âá ¤¹ ¤Ì ¤©  15 20  9 ÂÞ 0 00000000
C2E2 3E81 Ââ ¤¹ ¤Ì ¤±  15 20 17 ÂÞ 0 00000000
C2E3 3E81 Âã ¤¹ ¤Ì ¤²  15 20 19 ÂÞ 0 00000000
C2E4 3E81 Âä ¤¹ ¤Ì ¤·  15 20 23 ÂÞ 0 00000000
C2E5 3EA1 Âå ¤¹ ¤Í     15 21  1 Âå 0 00000000
C2E6 3EA1 Âæ ¤¹ ¤Í ¤¶  15 21 22 Âå 0 00000000
C2E7 3EA1 Âç ¤¹ ¤Í ¤·  15 21 23 Âå 0 00000000
C2E8 3EE1 Âè ¤¹ ¤Ï     15 23  1 Âè 0 00000000
C2E9 3F41 Âé ¤¹ ¤Ð     15 26  1 Âé 0 00000000
C2EA 3F61 Âê ¤¹ ¤Ñ     15 27  1 Âê 0 00000000
C2EB 3F61 Âë ¤¹ ¤Ñ ¤±  15 27 17 Âê 0 00000000
C2EC 3F61 Âì ¤¹ ¤Ñ ¤µ  15 27 21 Âê 0 00000000
C2ED 3F61 Âí ¤¹ ¤Ñ ¤·  15 27 23 Âê 0 00000000
C2EE 3FA1 Âî ¤¹ ¤Ó     15 29  1 Âî 0 00000000
C2EF 3FA1 Âï ¤¹ ¤Ó ¤¡  15 29  2 Âî 0 00000000
C2F0 3FA1 Âð ¤¹ ¤Ó ¤¤  15 29  5 Âî 0 00000000
C2F1 3FA1 Âñ ¤¹ ¤Ó ¤©  15 29  9 Âî 0 00000000
C2F2 3FA1 Âò ¤¹ ¤Ó ¤±  15 29 17 Âî 0 00000000
C2F3 3FA1 Âó ¤¹ ¤Ó ¤²  15 29 19 Âî 0 00000000
C2F4 3FA1 Âô ¤¹ ¤Ó ¤·  15 29 23 Âî 0 00000000
C2F5 3FA1 Âõ ¤¹ ¤Ó ¤¸  15 29 24 Âî 0 00000000
